sample	A.OX	AfsA	AMP.binding	ATd	Autoind_synth	bacilysin	Bacteriocin_II	Bacteriocin_IIc	Bacteriocin_IId	BLS	bt1fas	CAS	Chal_sti_synt_C	Chal_sti_synt_N	Condensation	cyanobactin_synth	cycdipepsynth	dmat	DUF1205	DUF692	ectoine_synt	fabH	fom1	Glyco_transf_28	Glycos_transf_1	Glycos_transf_2	goadsporin_like	hglD	hglE	indsynth	IucA_IucC	L_biotic_typeA	Lactococcin_972	LANC_like	Lant_dehyd_C	Lant_dehyd_N	Linocin_M18	LipV	Lycopene_cycl	MGT	micJ25	mvd_mst	NAD_binding_4	NapT7	novH	PF00067	PF00106	PF02441	PF04820	PF13561	PF13575	phosphonates	phytoene_synt	phzB	PKS_AT	PKS_KS	PP.binding	salQ	skfc	spcDK_like_cou	spcDK_like_glyc	strK_like1	strK_like2	subtilosin	t2clf	t2fas	t2ks	t2ks2	tabtoxin	terpene_cyclase	Terpene_synth_C	TIGR03601	TIGR03602	TIGR03603	TIGR03604	TIGR03605	TIGR03651	TIGR03678	TIGR03693	TIGR03731	TIGR03793	TIGR03798	TIGR03882	TIGR03975	TIGR04363	ToyB	TunD	YcaO
sim_meta-1	177	8	12674	43	23	0	0	0	1	0	0	0	24	29	1723	0	0	0	0	253	23	847	0	171	2087	2115	1	39	75	45	119	0	0	119	210	42	14	0	58	235	23	0	1294	2	0	1002	2916	339	960	1653	23	0	139	3	1083	1207	739	15	0	2	1	0	0	0	19	1316	19	15	1	73	28	0	0	0	0	0	0	0	0	2	11	9	7	24	4	1	0	187
sim_meta-10	228	6	12144	12	18	0	0	0	2	0	0	0	45	46	1025	32	2	0	1	118	44	786	5	203	2587	2388	0	0	0	0	59	1	0	17	105	37	20	0	99	100	10	0	1379	2	0	801	3110	306	842	1745	3	8	144	0	893	665	511	14	0	7	3	0	0	6	50	1423	49	0	0	31	10	0	0	0	3	0	0	0	3	2	0	9	13	24	0	0	0	152
sim_meta-100	385	1	15027	12	14	0	0	0	0	0	0	0	20	30	3614	0	5	0	1	174	19	806	0	198	2333	2168	0	17	28	0	19	0	0	2	60	24	39	0	38	195	21	0	1399	0	0	654	2894	229	383	1604	0	0	188	0	1059	1401	1024	0	0	0	0	0	0	0	0	1188	6	0	5	16	111	0	0	10	0	0	0	0	0	0	14	14	6	63	0	0	0	177
sim_meta-101	200	2	12375	0	26	0	0	0	1	0	16	0	18	9	1095	0	0	1	0	121	41	703	0	199	2242	2378	0	31	48	0	55	1	0	33	17	7	16	0	89	74	31	0	1432	0	0	485	3065	329	490	1742	0	0	145	0	596	172	465	3	0	0	1	0	0	4	0	1305	2	0	4	23	0	0	0	0	2	0	0	0	2	1	31	23	7	0	0	0	0	173
sim_meta-102	390	2	13269	80	30	0	0	0	0	9	6	23	56	83	2675	32	0	0	0	125	26	891	0	190	2960	2860	0	25	48	0	28	0	0	24	45	8	15	2	132	139	8	0	1376	5	0	958	3452	251	721	1754	53	0	221	0	1055	1666	931	1	0	0	0	0	0	0	33	1574	48	15	1	34	41	0	0	0	0	0	0	0	0	0	0	1	4	2	0	0	0	127
sim_meta-103	238	5	10568	1	12	0	0	0	0	0	8	0	36	44	1571	23	0	0	0	133	26	914	4	183	2231	2079	0	44	94	0	8	0	0	5	15	2	15	0	68	152	8	0	1451	3	0	529	3195	295	483	1870	0	0	133	0	736	612	559	0	0	3	0	0	0	2	0	1224	2	0	2	9	0	0	0	0	0	0	0	0	0	0	0	2	11	0	0	0	0	138
sim_meta-104	200	4	14895	0	40	0	0	0	0	0	12	0	19	17	1984	2	0	0	0	147	44	833	2	210	2195	2097	0	42	65	0	54	0	0	29	52	9	27	0	137	117	7	0	1401	3	0	943	3515	298	665	1905	0	13	195	11	1223	1184	761	1	0	2	2	1	0	0	0	1365	3	0	1	27	29	0	0	0	0	0	0	0	0	0	0	15	0	13	0	2	2	180
sim_meta-105	211	0	10115	15	47	0	0	0	0	0	0	0	56	61	1199	0	0	0	0	193	4	1026	0	231	2028	2561	0	74	111	0	38	1	0	27	0	0	0	0	164	26	16	0	1262	0	0	666	3154	274	745	2125	3	18	235	0	642	788	602	0	0	2	2	0	0	3	0	1489	3	0	0	17	0	0	0	0	3	0	0	0	3	0	0	29	0	3	0	1	0	183
sim_meta-106	180	0	10089	0	50	0	0	0	0	0	0	0	21	14	528	0	0	0	0	257	30	968	0	188	2349	2238	0	43	68	0	59	0	0	16	1	2	29	0	104	54	9	0	1255	1	0	694	3514	250	1868	2026	6	0	165	0	622	203	391	0	0	0	0	0	0	0	0	1257	2	0	0	15	0	0	0	9	0	1	0	0	0	0	0	6	0	0	0	0	0	108
sim_meta-107	287	5	13878	108	29	31	1	8	0	4	5	10	30	32	1531	0	0	0	0	213	41	899	1	178	2333	2579	0	11	6	0	114	0	1	10	16	1	14	1	104	132	22	0	1344	2	0	1083	3844	348	1303	2057	7	0	233	5	980	946	628	2	0	3	5	0	0	14	18	1319	20	28	0	13	17	0	0	16	0	0	5	0	0	1	0	7	1	2	0	0	0	74
sim_meta-108	170	5	11505	0	25	0	0	0	0	0	11	0	58	48	1442	0	0	0	0	156	40	805	0	193	2709	2815	0	29	56	0	93	0	0	32	15	1	27	0	181	67	22	0	1463	1	0	695	2675	330	554	1823	0	11	281	0	667	344	537	0	0	0	3	0	0	0	0	1337	4	0	0	48	16	0	0	0	0	0	0	0	0	1	0	39	0	14	0	0	2	127
sim_meta-109	213	0	11891	0	62	0	0	0	0	0	0	0	6	5	681	10	0	0	0	246	53	744	0	198	2170	1980	0	79	63	0	75	0	0	11	2	1	24	0	28	15	12	0	1225	0	0	404	3073	308	771	2062	15	1	172	0	677	300	470	0	0	0	0	0	0	4	0	1071	0	3	4	6	0	0	0	0	0	0	2	2	0	0	2	11	1	0	0	3	1	151
sim_meta-11	178	7	9026	3	10	0	0	0	0	0	0	0	20	35	882	66	0	0	2	199	4	950	0	205	2408	2624	0	80	85	37	144	0	0	49	121	25	10	0	147	203	9	0	1327	6	0	765	2400	293	898	1492	26	44	163	0	917	676	553	11	0	0	0	0	0	3	13	1125	18	0	0	31	8	1	0	17	6	3	2	0	5	0	0	3	19	0	0	0	0	176
sim_meta-110	316	5	13867	13	16	0	0	5	0	0	18	0	18	31	1543	2	0	0	0	213	37	906	0	231	2209	1987	0	73	64	0	122	4	0	37	104	20	25	0	98	135	17	0	1357	4	0	894	3387	334	997	1877	61	3	182	0	1023	878	686	35	0	0	0	0	0	3	39	1576	52	0	1	10	13	0	0	21	2	0	0	0	3	4	0	7	1	38	0	0	0	236
sim_meta-111	182	0	11565	112	17	15	0	2	0	0	4	0	31	48	2388	0	0	0	0	239	41	993	0	203	2494	2358	0	92	103	20	136	0	0	28	22	3	6	0	105	142	17	0	1478	0	0	652	2933	248	967	1838	7	46	153	0	957	1206	873	0	0	1	0	0	0	9	0	1606	1	11	0	23	18	0	0	4	0	0	0	0	0	1	0	12	0	13	0	0	0	162
sim_meta-112	129	0	10814	17	22	0	0	0	0	0	3	0	22	34	910	11	0	0	0	219	50	732	0	201	2363	2270	0	41	45	10	68	0	0	10	2	1	14	0	120	34	9	3	1364	1	0	717	3218	310	930	1792	4	11	164	0	715	705	505	1	0	1	0	0	0	0	0	1612	1	0	2	14	0	0	0	0	2	0	0	2	4	0	0	30	3	0	0	0	0	253
sim_meta-113	581	0	15132	82	26	0	0	0	0	0	0	0	29	57	3110	0	0	0	0	199	22	909	0	175	2456	2197	0	23	60	0	31	1	2	64	96	19	47	0	118	97	1	0	1561	0	0	920	3699	270	546	1937	78	20	172	2	1395	1841	1102	0	0	2	0	0	0	0	0	1289	2	22	1	38	50	0	0	0	0	0	0	0	0	0	2	16	0	7	0	0	0	174
sim_meta-114	414	2	16138	54	41	0	0	0	0	0	26	0	13	21	3384	0	0	0	0	187	59	951	0	197	2870	2458	3	27	60	20	112	0	0	53	48	12	34	0	100	143	9	0	1550	5	0	691	3958	267	803	2069	59	0	168	2	1075	1331	1042	9	0	3	2	0	0	0	0	1493	6	0	0	13	52	0	0	0	0	0	0	0	0	0	5	9	2	29	0	2	0	176
sim_meta-115	241	2	11507	3	14	0	1	1	0	1	1	5	33	39	1152	24	0	0	0	141	28	877	0	181	2953	2875	0	37	63	0	81	0	1	12	29	2	23	0	118	114	22	0	1476	5	0	804	2971	263	535	1833	0	0	205	1	867	632	546	1	0	4	2	0	0	0	16	1454	26	0	0	44	33	0	0	5	9	0	0	0	10	0	0	3	6	31	0	0	3	157
sim_meta-116	298	3	12587	80	41	4	0	0	0	0	2	0	25	42	2049	0	0	0	1	171	22	875	0	216	2396	2163	0	67	83	0	45	0	0	37	37	10	39	0	56	189	13	0	1373	0	0	584	3030	319	836	1903	6	17	170	5	657	645	710	0	0	1	2	0	0	8	0	1341	2	18	2	34	12	0	0	8	3	2	0	0	6	1	1	8	10	30	0	0	0	133
sim_meta-117	259	2	11534	11	15	0	0	1	1	0	7	0	30	36	1254	0	0	0	0	110	31	896	0	196	2458	2315	0	9	56	0	49	3	1	70	55	16	36	0	63	120	13	0	1470	4	0	421	3011	282	461	1815	80	19	131	0	748	591	524	7	5	1	0	0	0	5	0	1327	4	0	2	44	16	1	0	9	4	0	2	0	2	2	2	5	0	23	0	0	1	100
sim_meta-118	270	4	14678	3	79	0	0	0	0	0	0	0	38	64	2767	0	0	0	0	315	20	736	0	195	2530	2233	0	17	34	0	86	0	0	0	54	24	36	0	143	167	12	0	1391	0	0	636	3316	242	1983	1811	0	3	238	0	1005	1062	817	0	0	2	0	0	0	0	0	1390	11	0	0	33	95	0	0	0	0	0	0	0	0	0	0	28	0	56	0	1	0	161
sim_meta-119	373	0	15516	78	13	0	0	0	0	0	12	0	21	38	2117	0	0	0	0	228	62	765	0	189	2424	1915	0	66	142	0	84	0	1	37	53	22	7	0	85	69	7	0	1250	0	0	784	4176	333	435	1920	64	0	104	0	1195	1389	762	0	0	2	0	0	0	0	0	1504	2	33	0	33	33	0	0	0	0	0	0	0	0	0	0	2	0	4	0	1	1	200
sim_meta-12	209	0	11626	0	62	0	0	0	0	0	0	0	45	50	1733	0	0	0	0	263	38	995	0	212	2465	2192	0	29	52	0	27	0	0	3	0	0	56	0	66	91	23	0	1505	0	0	377	3642	317	479	2275	0	9	124	111	694	251	583	0	0	2	2	0	0	0	0	1687	2	0	9	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	135
sim_meta-120	168	0	9856	0	44	0	0	0	0	0	1	0	32	27	653	8	0	0	0	154	18	907	0	192	2298	2564	0	32	91	11	54	0	0	19	22	3	31	0	78	106	9	4	1329	0	0	512	2970	335	714	2032	1	8	129	4	813	452	496	0	0	2	1	0	0	0	0	1514	2	0	2	6	15	0	0	0	0	0	1	0	0	0	8	11	5	4	0	2	1	141
sim_meta-121	373	0	15909	57	43	0	0	0	0	0	3	0	37	41	3508	0	0	0	0	199	21	910	0	141	2231	1973	0	56	87	30	64	0	0	52	86	12	26	0	56	189	31	0	1304	1	0	1024	3306	238	667	1869	3	17	253	4	1339	1838	1072	0	0	1	1	0	0	1	0	1289	3	0	0	41	65	2	0	0	0	0	1	0	1	0	2	5	0	47	0	0	0	141
sim_meta-122	439	6	14672	185	16	0	0	5	0	0	9	0	35	35	3618	0	0	0	0	156	29	852	0	233	2712	2374	0	11	32	0	61	3	0	117	156	31	23	0	110	184	24	0	1366	6	0	680	3489	345	1022	1968	50	5	181	14	1043	1314	1050	20	0	1	0	0	0	3	19	1401	16	36	4	21	15	0	1	9	0	0	0	0	0	2	9	12	0	12	0	1	0	94
sim_meta-123	352	0	14850	58	44	0	0	0	0	0	7	0	8	19	2815	0	0	0	0	207	40	813	0	183	2092	2110	0	39	51	23	78	0	0	12	58	11	56	0	60	152	9	0	1348	0	0	575	3448	251	536	1655	15	0	157	0	1098	1558	950	0	0	0	0	0	0	0	0	1628	2	5	1	31	72	0	0	0	0	0	0	0	0	0	0	1	0	44	0	2	0	273
sim_meta-124	419	1	16311	260	40	0	0	0	0	0	34	0	24	49	4065	0	0	0	0	129	22	959	0	235	3099	2853	0	7	15	0	45	0	0	158	118	24	31	0	120	228	13	0	1346	9	0	743	3322	376	718	1896	0	0	164	0	909	970	928	15	0	0	3	0	0	2	0	1312	2	43	4	2	0	1	0	0	7	0	0	0	7	7	11	4	0	13	0	0	2	87
sim_meta-125	215	2	12213	94	33	20	0	2	0	0	10	0	68	68	2117	12	1	0	0	135	25	822	0	196	2388	2451	0	54	94	13	64	1	0	22	30	7	32	0	113	142	28	0	1290	1	0	812	3305	301	573	2079	22	16	187	0	864	923	801	0	0	0	1	0	0	11	0	1477	0	17	0	28	7	1	0	35	2	0	0	0	3	2	0	20	0	12	0	0	1	196
sim_meta-126	169	0	10204	1	41	0	2	0	0	0	1	0	27	33	858	28	0	0	0	153	44	813	0	159	2454	2584	0	18	34	0	85	0	0	2	0	0	31	0	92	65	30	0	1445	0	0	682	3348	285	1004	2105	0	0	160	20	645	259	441	0	0	0	1	0	0	0	0	1532	6	0	4	17	0	0	0	0	0	0	0	0	0	0	3	4	14	20	0	1	1	143
sim_meta-127	228	6	12016	6	20	0	0	0	0	0	3	0	26	26	1088	0	0	0	0	127	22	820	0	197	2166	1937	0	49	94	0	84	0	0	4	111	23	23	0	72	72	31	0	1436	3	0	652	3454	284	560	1907	0	8	223	0	905	645	581	19	0	1	1	0	0	1	31	1461	46	0	1	23	0	0	0	0	0	0	2	0	0	0	0	15	0	37	0	0	0	168
sim_meta-128	277	2	10677	55	17	10	0	0	0	0	1	0	32	70	1127	2	0	0	0	183	34	890	0	185	2327	2500	0	29	53	7	88	0	0	43	13	4	23	0	102	138	14	0	1461	0	0	606	3040	279	646	2014	53	15	219	3	684	554	552	0	0	3	3	0	0	18	0	1456	3	10	0	35	8	1	0	0	6	0	0	0	19	0	0	11	0	8	0	0	1	43
sim_meta-129	161	3	9177	5	53	0	0	0	0	0	4	0	36	38	249	62	0	0	2	147	11	830	0	196	2901	2923	0	40	69	0	70	0	0	1	0	0	5	0	90	65	4	0	1340	1	0	655	2869	248	1751	1546	4	0	184	0	637	249	307	0	0	0	2	0	0	0	0	1353	4	0	0	33	9	0	0	0	0	0	0	0	0	0	0	5	20	0	0	0	1	79
sim_meta-13	443	4	12028	90	36	0	0	0	2	4	21	6	54	70	1836	0	0	0	0	180	30	909	4	220	2427	2392	0	32	63	0	76	0	0	67	77	15	21	0	54	113	13	0	1506	2	0	645	3143	293	534	1876	64	3	192	0	1140	1583	769	12	0	2	1	0	0	0	4	1648	15	19	0	38	25	0	0	0	0	0	0	0	0	5	0	2	0	1	0	4	2	131
sim_meta-130	212	0	10756	3	22	0	0	0	1	0	8	0	56	59	923	0	0	0	0	155	37	887	4	164	2592	2169	0	30	76	0	30	0	0	39	21	7	4	0	115	78	7	0	1408	0	0	477	2874	309	560	1759	14	19	205	0	590	410	421	6	0	1	6	0	0	1	0	1441	8	0	1	60	7	0	0	0	0	0	0	0	5	3	0	8	0	5	0	0	0	127
sim_meta-131	579	2	15497	34	56	0	0	0	0	0	0	0	32	60	3469	0	0	0	0	230	41	791	5	208	2583	2319	0	5	8	0	111	0	1	179	80	12	16	0	58	114	10	0	1629	0	0	845	3808	262	317	2112	191	36	255	6	1055	1307	1017	0	0	0	1	0	0	0	0	1225	2	0	0	28	36	0	0	0	8	0	2	0	10	1	0	28	0	58	0	1	0	170
sim_meta-132	343	3	11694	35	27	0	0	0	0	0	2	0	25	30	1165	3	0	0	0	248	18	812	0	188	2547	2557	0	58	85	0	69	0	1	37	23	8	11	0	87	86	23	0	1443	0	0	623	3170	336	927	2067	57	15	172	0	860	591	584	0	0	1	2	0	0	2	0	1426	2	14	2	69	13	1	0	0	6	0	2	1	13	3	0	46	12	39	0	3	0	184
sim_meta-133	249	1	13058	157	26	18	2	16	0	11	8	5	33	44	2934	0	0	0	0	170	28	806	0	171	2077	2213	1	39	78	20	68	0	2	71	63	13	22	1	71	191	16	0	1331	1	0	894	3489	299	1168	1832	1	0	155	1	992	1410	910	5	0	1	4	0	0	14	32	1458	39	29	2	41	34	0	1	22	0	0	0	0	0	1	5	1	1	7	0	0	1	147
sim_meta-134	313	5	14562	48	14	0	0	0	0	0	4	0	23	32	2341	1	0	0	0	192	12	759	0	199	2465	2454	0	2	21	24	58	0	0	26	13	7	19	0	129	131	19	0	1509	0	0	853	3145	312	452	2015	31	10	207	0	777	904	674	0	0	2	3	0	0	7	0	1081	4	0	1	21	18	4	0	0	4	0	0	0	14	0	0	35	0	14	0	1	1	86
sim_meta-135	321	0	12454	0	57	0	2	18	0	0	6	0	23	29	1644	0	0	0	0	178	22	946	0	211	2408	2390	0	44	84	0	132	5	3	23	7	3	0	0	140	64	13	0	1451	0	0	527	3211	259	499	1982	20	20	199	0	761	427	661	0	0	1	0	0	0	2	0	1492	5	0	1	32	0	0	0	30	3	0	5	0	4	2	0	23	0	0	0	0	0	198
sim_meta-136	180	0	10715	2	13	0	0	0	0	0	4	0	23	35	724	0	0	0	0	140	30	890	6	256	2330	2519	1	34	37	0	74	0	0	8	14	2	17	0	72	59	29	0	1499	3	0	599	3023	348	711	1770	9	0	188	0	1003	730	569	0	0	4	2	0	0	0	26	1502	44	0	0	31	18	0	0	0	0	0	0	0	0	0	0	13	0	0	0	2	2	290
sim_meta-137	252	0	11551	0	41	0	0	0	0	10	0	16	33	47	789	0	0	0	0	131	56	789	3	175	2317	2455	0	28	45	0	76	0	1	15	3	1	13	2	89	93	10	0	1356	3	0	485	3161	302	532	1814	20	14	191	0	602	291	420	0	0	1	4	0	0	0	24	1468	21	0	0	53	3	0	0	0	4	0	0	0	12	0	0	12	0	0	0	1	0	104
sim_meta-138	308	0	12170	231	42	17	0	3	0	0	7	0	19	48	3142	0	6	0	0	181	30	873	0	220	2379	2543	0	40	41	0	142	3	0	112	91	17	0	0	86	152	39	0	1234	0	0	553	3607	336	1001	2128	21	9	154	20	787	939	868	0	0	0	0	0	0	13	0	1533	3	50	3	14	0	0	2	10	0	0	4	0	0	7	4	14	0	0	0	3	0	155
sim_meta-139	384	0	14904	117	31	0	0	3	0	0	3	0	31	34	3252	0	0	0	0	199	27	830	0	188	2479	2276	1	37	45	58	55	1	0	13	68	7	38	0	100	120	42	0	1320	3	0	693	3266	292	788	1763	12	36	150	0	1191	1892	1026	0	1	0	1	0	0	0	0	1462	0	0	8	48	46	0	1	6	0	0	6	0	0	0	3	19	1	21	0	0	0	123
sim_meta-14	438	1	13432	34	22	0	0	0	3	0	24	0	47	72	2039	0	0	0	0	214	11	892	0	191	2958	2923	2	66	92	0	99	0	0	171	128	29	32	0	172	219	13	0	1463	4	0	688	3011	289	350	1646	151	0	218	7	1396	1585	912	16	0	10	4	0	0	0	30	1380	36	0	2	43	47	0	0	0	0	0	0	0	0	6	0	8	1	53	0	1	1	97
sim_meta-140	204	8	12313	77	22	0	0	3	0	4	9	8	25	42	2027	1	0	0	0	154	32	878	0	210	2430	2550	0	6	20	10	121	0	0	53	123	33	23	1	137	164	36	0	1331	1	0	874	3193	319	437	1733	0	9	206	3	1051	893	696	10	0	2	1	0	0	0	46	1436	37	12	1	34	14	0	0	7	2	0	0	0	6	2	0	9	0	22	0	1	1	109
