sample	A.OX	AfsA	AMP.binding	ATd	Autoind_synth	bacilysin	Bacteriocin_II	Bacteriocin_IIc	Bacteriocin_IId	BLS	bt1fas	CAS	Chal_sti_synt_C	Chal_sti_synt_N	Condensation	cyanobactin_synth	cycdipepsynth	dmat	DUF1205	DUF692	ectoine_synt	fabH	fom1	Glyco_transf_28	Glycos_transf_1	Glycos_transf_2	goadsporin_like	hglD	hglE	indsynth	IucA_IucC	L_biotic_typeA	Lactococcin_972	LANC_like	Lant_dehyd_C	Lant_dehyd_N	Linocin_M18	LipV	Lycopene_cycl	MGT	micJ25	mvd_mst	NAD_binding_4	NapT7	novH	PF00067	PF00106	PF02441	PF04820	PF13561	PF13575	phosphonates	phytoene_synt	phzB	PKS_AT	PKS_KS	PP.binding	salQ	skfc	spcDK_like_cou	spcDK_like_glyc	strK_like1	strK_like2	subtilosin	t2clf	t2fas	t2ks	t2ks2	tabtoxin	terpene_cyclase	Terpene_synth_C	TIGR03601	TIGR03602	TIGR03603	TIGR03604	TIGR03605	TIGR03651	TIGR03678	TIGR03693	TIGR03731	TIGR03793	TIGR03798	TIGR03882	TIGR03975	TIGR04363	ToyB	TunD	YcaO
sim_meta-52	321	0	13495	83	28	0	0	0	0	0	0	0	28	12	2978	0	0	0	0	183	20	723	0	209	2624	2098	0	11	20	102	39	0	0	46	40	9	35	0	35	87	17	0	1463	0	0	474	2694	342	649	1780	46	32	69	21	1010	1911	1023	0	0	1	0	0	0	6	0	1491	2	0	3	50	32	0	0	0	0	0	0	0	0	1	1	2	1	20	0	0	3	108
sim_meta-53	344	1	11139	38	24	0	0	0	0	0	5	0	22	43	2049	10	1	0	0	167	34	837	0	186	2627	2656	0	41	74	0	51	0	0	39	35	6	50	0	76	93	0	0	1526	0	0	524	2698	293	595	1595	39	18	192	0	884	837	772	5	0	1	0	0	0	0	0	1650	4	11	0	48	15	0	0	15	0	2	0	1	0	0	0	6	3	2	0	0	0	158
sim_meta-54	312	1	13369	37	38	0	0	2	1	0	7	0	35	54	1909	3	4	0	0	215	27	709	0	162	2612	2277	0	31	69	0	27	0	0	28	36	15	32	0	148	90	8	0	1373	2	0	774	3573	239	419	2001	32	24	197	0	801	728	719	6	0	1	3	0	0	2	0	1390	6	13	1	47	25	1	0	6	2	0	0	0	3	3	7	34	5	9	0	1	0	141
sim_meta-55	226	0	10869	231	16	49	1	7	0	0	0	0	46	66	1359	32	0	0	2	146	19	891	0	212	2589	3101	0	8	27	0	62	1	0	6	1	0	2	0	129	179	27	0	1350	4	0	927	3275	331	573	2329	7	9	258	0	703	1201	568	0	0	0	1	0	0	48	0	1284	3	41	0	55	0	0	1	21	0	0	0	0	0	0	0	21	11	33	0	1	0	95
sim_meta-56	228	4	11366	0	47	0	0	18	0	0	2	0	18	22	1098	4	0	0	0	174	56	782	1	227	2093	1942	0	38	48	0	45	5	2	17	3	0	19	0	111	33	15	0	1423	0	0	750	2994	326	648	1945	27	4	157	0	596	155	477	0	0	1	1	0	0	0	0	1378	5	0	5	26	0	0	2	42	0	0	1	0	0	1	0	12	1	9	0	3	0	196
sim_meta-57	355	2	15868	2	19	0	0	0	0	9	0	12	24	32	3224	5	0	0	0	203	35	695	0	199	2701	2266	0	64	88	0	87	0	0	39	80	20	42	2	66	235	21	1	1308	1	0	587	3112	254	559	1672	17	30	181	0	1083	1123	1076	0	0	0	0	0	0	0	8	1263	15	2	0	30	110	0	0	0	0	0	2	0	0	0	0	23	2	47	0	0	0	292
sim_meta-58	161	1	10004	0	38	0	0	0	0	5	2	5	21	32	1119	16	0	0	0	112	68	822	0	205	3277	2732	0	32	68	0	81	0	0	27	0	0	19	1	82	106	16	0	1366	1	0	530	2602	320	288	1547	25	25	187	0	613	228	452	0	0	0	1	0	0	0	6	1356	16	6	9	35	17	0	0	0	0	0	0	1	0	0	0	22	5	0	0	1	1	83
sim_meta-59	308	1	11228	0	30	0	0	0	0	0	12	0	0	0	825	0	0	0	0	83	27	803	0	204	2394	2146	0	7	14	0	62	0	0	7	0	0	44	0	94	90	4	0	1129	3	0	649	3230	294	346	2271	0	0	131	0	622	91	400	1	0	3	0	0	0	0	0	1243	0	0	0	12	0	0	0	0	0	0	1	0	0	0	0	14	14	38	0	0	0	181
sim_meta-6	278	0	11941	4	44	0	0	0	0	8	17	12	61	78	1396	5	0	0	0	181	44	950	0	205	2401	2513	0	37	93	0	66	1	0	18	56	5	2	0	107	170	15	0	1434	8	0	828	3137	273	498	1919	9	6	255	0	722	490	524	18	0	2	2	0	0	3	54	1358	38	0	0	32	4	0	0	0	1	0	0	0	1	0	0	8	2	22	0	0	1	112
sim_meta-60	411	0	14303	113	8	0	0	0	0	0	2	0	51	71	4193	17	1	0	0	192	22	887	4	186	2767	2555	0	42	74	76	57	0	1	69	80	21	39	0	138	202	14	3	1654	0	0	714	2915	294	428	1583	91	12	187	1	1525	2630	1314	0	0	0	0	0	0	0	0	1540	5	7	5	27	74	0	0	0	0	0	0	3	0	0	1	44	2	48	0	0	0	163
sim_meta-61	328	0	12156	35	46	0	0	0	0	0	0	0	27	52	1832	0	0	0	0	236	51	792	0	209	2243	2113	0	84	107	0	107	0	0	17	25	7	11	0	90	73	24	0	1442	0	0	708	3101	300	621	1788	30	0	173	0	787	618	726	0	0	1	2	0	0	1	0	1463	7	2	2	16	11	1	0	0	1	0	0	0	6	0	0	9	0	2	0	0	0	130
sim_meta-62	304	0	13793	62	39	0	0	3	2	0	14	0	26	20	2412	4	1	0	0	157	53	786	2	199	2283	2318	0	42	61	17	88	5	0	54	24	11	25	0	88	115	15	0	1370	3	0	818	3583	299	582	2006	35	15	175	0	894	1225	821	3	0	0	0	0	0	2	0	1430	3	6	4	56	20	0	1	18	4	0	0	2	8	3	0	24	6	31	0	1	0	190
sim_meta-63	380	3	12493	161	53	11	0	0	0	0	2	0	38	57	2659	8	1	0	0	108	23	992	2	177	2600	2777	0	37	57	51	92	1	0	70	63	10	25	0	100	137	24	1	1562	0	0	877	3205	283	671	2161	26	5	209	0	1010	1386	911	0	0	3	0	0	0	4	0	1475	5	23	0	28	29	0	0	0	0	0	3	2	0	2	2	12	6	30	0	1	2	124
sim_meta-64	253	0	12476	0	73	0	0	0	0	0	11	0	23	34	976	0	0	0	0	267	85	780	0	220	1931	1784	0	55	74	0	206	0	0	7	0	0	0	0	47	35	4	0	1272	0	0	674	3627	337	603	1945	0	13	196	0	705	392	456	0	0	1	2	0	0	0	0	1402	2	0	0	37	0	0	0	0	0	0	4	0	0	0	0	19	0	0	0	2	2	228
sim_meta-65	533	12	17248	14	55	0	0	0	0	0	31	0	48	56	2793	0	0	0	0	147	44	876	0	211	2548	2366	0	9	28	79	85	0	0	142	291	54	36	0	86	502	25	0	1358	11	0	1109	3825	257	544	1873	140	41	290	0	1535	1722	933	44	0	4	1	0	0	14	38	1083	32	0	0	31	35	1	0	0	4	0	0	0	12	0	1	3	0	37	6	5	0	118
sim_meta-66	248	0	11566	3	35	0	3	11	0	0	0	0	33	35	1346	4	0	0	0	174	18	829	0	219	2639	2811	0	35	57	0	52	0	3	26	16	3	11	0	144	69	24	0	1539	0	0	594	2927	338	421	1629	28	5	171	14	766	426	541	0	1	1	3	0	0	6	0	1581	3	0	9	16	30	0	0	7	7	0	3	0	8	1	1	23	0	14	0	3	0	174
sim_meta-67	449	3	13196	94	7	0	0	0	0	0	0	0	35	50	2976	7	0	0	0	221	20	1001	0	216	2492	2223	0	108	122	3	87	0	0	141	152	32	19	0	141	196	22	0	1495	1	0	712	3128	265	569	1736	121	19	168	2	1249	1611	970	4	1	3	1	0	0	5	7	1498	20	19	5	11	44	1	0	0	6	0	4	0	4	1	3	21	0	29	0	0	1	172
sim_meta-68	227	0	13098	0	53	0	0	0	0	0	0	0	30	35	1684	0	0	0	0	180	23	775	0	177	2728	2415	0	23	80	0	84	0	0	32	17	4	30	0	98	77	5	0	1367	0	1	845	3506	281	885	1992	0	18	212	2	880	675	654	1	0	0	0	0	0	0	0	1414	9	0	0	54	29	0	0	0	0	0	2	0	0	0	0	2	0	9	0	1	0	81
sim_meta-69	168	1	9509	3	33	0	0	0	0	0	0	0	39	46	880	38	0	0	1	253	15	956	0	182	2711	2945	0	76	98	38	103	0	0	30	74	10	11	0	101	151	9	1	1262	1	0	975	2824	304	1066	1617	17	1	164	0	840	588	536	11	0	1	0	0	0	0	7	1631	15	0	0	41	16	0	0	3	0	1	0	1	0	0	0	14	7	0	2	0	1	122
sim_meta-7	395	2	15391	73	59	0	0	0	1	0	12	0	52	61	3178	1	0	0	0	212	28	782	0	217	2453	2614	0	15	36	62	44	0	0	46	88	20	13	0	99	182	17	0	1376	0	0	1008	3900	282	845	2219	11	10	209	7	1034	1529	988	19	0	2	3	0	0	0	12	1496	11	0	1	23	37	0	0	0	6	0	1	0	7	1	1	4	0	32	1	0	1	128
sim_meta-70	143	5	10734	0	41	0	0	0	0	0	0	0	60	76	926	0	0	0	0	167	11	1141	0	210	2425	2847	0	71	86	26	104	0	0	27	112	19	0	0	144	240	8	0	1597	2	0	875	3009	274	1237	1731	36	15	242	0	789	583	598	10	0	2	1	0	0	0	13	1467	20	0	6	32	8	0	0	0	0	0	0	0	0	0	2	8	0	0	2	2	0	87
sim_meta-71	184	3	11764	0	24	0	2	15	0	0	0	0	21	48	1093	0	0	0	0	73	16	829	0	195	2404	2749	0	28	42	0	55	0	4	0	1	0	7	0	125	34	10	0	1505	6	0	486	2888	314	362	1801	1	18	240	0	654	286	444	3	0	0	2	0	0	0	0	1568	8	0	1	56	0	0	0	21	0	0	0	0	0	0	0	24	0	3	0	1	2	74
sim_meta-72	190	6	10719	27	30	5	2	24	0	0	4	0	28	47	931	0	0	0	0	202	17	905	1	213	2236	2483	0	52	61	0	75	0	1	17	75	15	20	0	130	66	19	0	1370	1	0	730	3206	299	763	1844	8	0	152	2	932	643	558	11	0	2	2	0	0	9	25	1519	25	4	1	10	5	0	1	29	0	0	0	0	2	3	0	0	0	14	0	0	1	199
sim_meta-73	308	1	11892	47	49	0	0	0	0	0	16	0	24	36	2187	5	0	0	0	184	23	809	0	172	2330	2397	0	53	79	39	81	0	0	25	39	4	50	0	87	56	6	0	1338	2	0	658	3066	276	822	1872	5	19	145	0	836	799	796	6	2	1	2	0	0	5	0	1451	1	0	0	45	16	0	0	0	0	0	9	1	0	0	0	20	3	9	0	3	1	166
sim_meta-74	360	0	12511	70	29	8	2	8	1	0	0	0	34	41	1750	31	0	0	0	177	27	826	0	174	2498	2426	0	39	64	0	86	0	2	87	67	8	26	0	67	145	27	0	1421	0	0	758	3583	268	787	2038	97	34	159	3	902	986	674	0	1	2	1	0	0	11	0	1436	2	7	3	34	19	0	0	17	0	0	7	1	0	0	6	11	13	23	0	0	0	185
sim_meta-75	419	0	14747	152	58	16	0	0	0	0	0	0	30	47	3698	0	0	0	0	268	9	966	0	214	1988	2102	0	34	56	51	52	0	0	36	42	14	29	0	49	163	18	0	1331	0	0	1029	3348	253	778	1919	5	19	173	0	1154	1991	1229	0	0	0	2	0	0	15	0	1471	0	23	0	53	47	0	0	14	0	5	0	0	0	0	0	25	0	33	0	0	0	123
sim_meta-76	339	2	13705	129	31	0	0	1	0	0	10	0	26	32	2841	0	0	0	0	119	35	755	0	197	2625	2331	0	31	31	19	81	0	0	60	58	12	15	0	113	177	24	0	1323	2	0	818	3509	344	579	2134	5	10	221	0	912	993	853	7	0	0	2	0	0	0	0	1185	3	15	2	24	19	0	0	0	0	0	3	0	0	2	0	25	3	38	0	1	1	169
sim_meta-77	184	4	9851	27	15	0	2	40	1	0	0	0	24	31	1232	4	0	0	0	214	43	815	0	217	2732	2598	0	56	80	26	156	2	5	33	25	4	0	0	81	48	41	0	1610	0	0	680	3001	355	425	1857	14	38	187	0	823	961	617	0	1	0	0	0	0	17	0	1616	4	0	5	30	14	2	0	35	13	0	10	0	20	0	0	15	0	0	0	1	0	213
sim_meta-78	304	0	9984	4	39	0	1	0	0	0	10	0	29	41	1057	47	0	0	0	114	28	809	0	185	2433	2563	2	41	61	0	92	0	0	4	2	0	24	0	45	117	30	0	1337	1	0	713	2871	254	594	1853	0	10	142	0	654	351	519	3	0	1	1	0	0	0	0	1280	2	0	6	20	0	0	0	0	0	0	3	0	0	0	21	20	23	0	0	0	1	205
sim_meta-79	296	4	13904	48	39	0	0	8	0	0	14	0	25	27	2267	0	0	0	0	165	46	762	0	239	2438	2168	0	7	40	17	61	1	4	24	57	16	30	0	81	143	24	0	1511	2	0	744	3479	326	742	1966	7	9	156	0	1012	1089	764	9	2	1	1	0	0	5	4	1348	11	0	3	2	8	0	0	12	6	0	8	0	11	1	1	11	4	36	0	0	0	152
sim_meta-8	258	2	9857	4	29	0	0	0	0	0	16	0	19	12	899	32	3	0	0	186	48	741	4	194	2460	2237	1	37	47	0	108	0	0	6	4	1	0	0	38	130	24	0	1524	2	0	807	2870	300	828	1511	2	22	170	0	881	673	513	9	0	2	2	0	0	0	24	1529	24	0	4	20	9	0	0	0	0	0	0	0	0	0	0	10	13	7	0	0	0	211
sim_meta-80	431	0	11906	31	42	0	0	0	0	0	0	0	39	68	1712	0	0	0	0	191	22	928	0	176	2984	3123	0	45	75	0	48	0	0	146	82	9	43	0	205	166	9	0	1566	0	0	568	3202	294	982	1934	186	5	219	6	1081	1221	753	0	0	0	0	0	0	0	0	1632	4	0	1	15	35	0	0	0	0	0	0	0	0	0	0	35	0	38	0	0	0	126
sim_meta-81	365	0	13280	1	57	0	0	0	0	0	0	0	39	53	1389	0	0	0	0	169	16	1033	0	188	2392	2346	0	42	86	0	48	0	12	1	11	2	8	0	114	142	64	0	1255	1	0	837	3416	263	653	2112	0	19	207	41	678	379	556	0	0	0	0	0	0	0	0	1333	1	0	7	15	0	0	0	18	0	3	0	0	0	0	1	24	0	0	0	1	1	163
sim_meta-82	201	0	11422	0	67	0	0	0	0	10	0	18	23	28	701	0	0	0	0	201	20	920	0	218	2602	2457	0	32	62	0	84	0	0	10	4	0	37	4	89	111	6	0	1503	5	0	883	2987	271	1026	1951	1	0	200	0	576	109	411	0	0	0	0	0	0	2	20	1696	22	0	0	33	0	0	0	0	3	0	0	0	3	0	0	1	0	0	0	1	1	74
sim_meta-83	345	1	14338	17	14	0	0	0	0	0	0	0	39	47	1809	0	0	0	0	146	69	717	0	190	2845	2554	2	0	34	0	137	0	0	99	46	18	23	0	176	153	20	0	1414	0	0	504	3381	306	437	1892	132	0	151	1	962	956	691	0	0	0	0	0	0	0	0	1285	8	0	12	0	52	0	0	0	0	0	0	0	0	0	11	11	4	41	0	0	0	130
sim_meta-84	137	0	8893	6	26	0	0	0	0	0	8	0	23	30	507	5	0	0	0	161	28	935	0	197	2396	2559	0	55	56	0	84	0	0	38	20	4	20	0	116	80	21	0	1435	1	0	484	2664	309	656	1696	31	32	165	0	699	240	403	4	0	1	3	0	0	0	0	1480	5	0	1	15	2	0	0	12	0	5	8	1	0	2	0	41	2	0	0	0	0	151
sim_meta-85	310	9	14130	3	48	0	0	0	0	0	14	0	21	21	2011	0	0	0	0	224	33	820	0	201	2720	2484	0	33	68	84	126	0	0	39	192	47	6	0	140	271	5	0	1459	2	0	1139	3837	271	930	1966	39	12	187	0	1172	1082	832	39	1	2	3	0	0	0	24	1517	20	0	0	24	18	0	0	0	0	0	3	0	0	0	0	6	0	14	4	3	0	147
sim_meta-86	166	0	9652	10	29	0	3	3	0	0	0	0	24	34	661	20	0	0	0	165	25	969	0	207	2325	2689	0	15	39	0	49	1	0	10	13	1	23	0	124	83	16	0	1461	0	0	575	2949	285	885	1873	38	0	188	1	691	588	465	0	0	1	1	0	0	0	0	1341	2	0	0	8	5	0	0	9	0	0	0	0	0	1	0	9	2	6	0	0	0	162
sim_meta-87	487	7	12661	29	36	0	0	0	0	0	0	0	52	55	2508	0	0	0	0	120	11	930	0	133	2858	2883	0	0	18	0	18	0	0	24	46	15	25	0	76	210	8	0	1351	0	0	508	3238	194	173	2070	34	12	201	0	1129	1142	757	0	0	1	1	0	0	0	0	1102	3	13	0	0	68	0	0	0	0	0	0	0	0	0	0	8	0	26	0	5	1	75
sim_meta-88	208	3	9135	7	19	0	0	0	0	0	6	0	18	41	279	0	0	0	0	184	23	783	4	198	2224	2234	1	15	19	0	97	0	0	0	1	0	8	0	72	17	5	0	1345	1	0	448	2824	293	904	1630	0	20	154	0	587	432	347	2	0	2	0	0	0	0	0	1227	2	0	0	13	0	0	0	0	0	0	0	0	0	0	5	4	1	0	0	1	3	72
sim_meta-89	205	0	11526	0	44	0	0	0	2	0	19	0	33	36	1233	0	0	0	0	302	33	917	0	170	2339	2590	0	12	10	0	132	0	0	29	24	4	38	0	61	64	8	0	1378	3	0	538	3027	347	765	1711	0	13	117	43	609	202	455	10	0	1	3	0	0	0	0	1408	5	0	9	44	0	0	0	6	0	1	0	0	0	1	0	4	0	4	0	0	0	163
sim_meta-9	193	3	10617	1	14	0	0	0	0	0	0	0	31	50	1689	0	8	0	0	161	35	1023	0	230	2443	2393	0	93	157	0	38	0	0	1	19	6	12	0	95	96	11	0	1487	0	0	522	2660	298	465	1634	0	16	141	0	857	545	662	0	0	0	1	0	0	0	0	1598	1	0	0	21	28	0	0	0	0	0	1	0	0	0	0	4	0	17	0	0	1	119
sim_meta-90	257	0	11135	20	38	0	0	0	0	2	1	6	23	37	1816	35	0	0	0	197	31	739	2	201	2710	2530	1	31	28	5	39	0	0	90	48	4	16	0	16	160	25	1	1551	0	0	694	2772	342	643	1592	87	34	130	29	891	740	643	0	1	0	2	0	0	9	5	1362	10	0	8	38	12	1	0	0	2	0	6	2	9	0	18	13	8	27	0	1	0	177
sim_meta-91	216	7	10435	16	29	0	0	1	0	0	2	0	13	26	1388	0	1	0	0	222	27	929	0	180	2378	2283	0	79	108	0	49	0	0	8	0	0	20	0	90	25	3	0	1266	0	0	624	3038	320	986	1823	8	0	106	0	780	822	646	2	0	0	0	0	0	3	0	1545	3	0	3	18	15	1	0	0	6	0	0	0	15	0	0	11	0	0	0	0	0	184
sim_meta-92	329	0	11203	0	51	0	0	0	0	0	3	0	3	6	788	0	0	0	0	139	18	766	0	236	2207	2021	0	55	109	0	167	0	0	0	0	0	8	0	62	82	16	0	1287	0	0	359	3490	297	664	1946	0	3	147	15	731	129	476	0	0	1	0	0	0	0	0	1622	6	0	1	1	16	0	0	17	0	1	7	0	0	0	0	8	0	0	0	0	1	212
sim_meta-93	194	2	10296	0	11	0	0	0	0	0	0	0	35	55	863	0	3	0	0	176	34	943	0	173	2514	2789	0	25	69	41	37	0	0	31	127	36	11	0	135	191	39	0	1565	3	0	838	3278	268	520	2186	26	5	201	0	942	756	482	16	0	3	2	0	0	0	22	1442	46	0	1	46	9	0	0	0	0	0	0	0	0	0	0	13	0	0	3	0	1	137
sim_meta-94	346	7	12706	112	21	19	0	0	0	0	7	0	35	57	1901	1	0	0	0	162	21	937	0	215	2764	2801	0	60	82	0	58	0	0	64	29	7	17	0	107	134	27	0	1622	1	0	661	3368	285	885	1974	41	28	237	0	881	870	780	0	2	1	1	0	0	24	0	1447	2	20	1	35	14	1	0	0	5	0	2	0	4	0	1	16	7	24	0	0	0	107
sim_meta-95	298	6	13947	2	12	0	0	0	0	0	28	0	14	20	2255	0	0	0	0	174	70	757	0	168	2432	1865	0	47	57	0	8	0	4	36	5	0	28	0	73	89	11	0	1220	9	0	761	3625	253	434	2181	2	8	126	0	689	192	601	28	1	0	0	0	0	3	1	1355	4	0	2	4	0	0	0	0	0	0	0	0	1	0	0	18	0	0	0	2	2	167
sim_meta-96	154	6	14573	3	17	0	0	0	0	0	2	0	24	30	1253	39	0	0	0	211	37	813	0	194	2219	2225	0	66	93	0	50	0	0	1	11	3	8	0	71	91	7	0	1385	1	0	779	3713	285	935	1987	9	10	144	0	754	411	589	0	0	1	0	0	0	5	0	1412	4	0	2	10	39	2	0	0	4	0	0	0	10	0	4	10	6	14	0	0	0	150
sim_meta-97	303	0	11453	29	8	0	0	0	0	0	2	0	27	34	1141	0	0	0	0	87	10	738	4	169	2826	2389	3	0	22	0	57	0	0	49	56	10	37	0	87	36	13	0	1638	0	0	399	2961	285	563	1841	28	20	140	0	811	765	491	0	0	3	0	0	0	12	0	1520	2	10	1	73	20	0	0	0	0	0	0	0	0	5	35	26	12	3	0	1	1	128
sim_meta-98	252	0	10722	6	33	0	0	0	0	8	0	14	44	79	895	0	1	0	0	151	54	794	6	189	2174	2104	0	31	21	0	67	0	0	4	0	0	0	3	104	72	25	0	1328	3	1	839	3140	285	648	2194	0	0	267	0	591	325	397	0	0	0	0	1	1	0	21	1268	30	0	4	62	0	0	0	0	0	0	0	0	0	0	0	9	12	34	0	1	1	87
sim_meta-99	201	3	12048	1	65	0	0	0	0	0	0	0	34	66	1345	11	0	0	0	237	18	861	3	218	2161	2065	0	73	121	48	63	0	0	39	91	24	18	0	111	112	26	2	1265	2	0	1039	3683	276	631	2136	24	16	179	0	859	459	565	3	0	1	0	0	0	3	13	1535	10	0	0	33	2	0	0	0	0	0	0	0	0	0	0	13	2	4	3	0	0	157
