"","A.OX","AMP.binding","ATd","AfsA","Autoind_synth","BLS","Bacteriocin_IIc","Bacteriocin_IId","CaiA","Chal_sti_synt_C","Chal_sti_synt_N","Condensation","DUF1205","DUF692","Glyco_transf_28","Glycos_transf_1","Glycos_transf_2","IucA_IucC","LANC_like","Lactococcin_972","Lant_dehyd_C","Lant_dehyd_N","Linocin_M18","LipV","LmbU","Lycopene_cycl","MGT","NAD_binding_4","NapT7","PF00067","PF00106","PF02441","PF04820","PF13561","PF13575","PKS_AT","PKS_KS","PP.binding","TIGR03603","TIGR03605","TIGR03651","TIGR03678","TIGR03731","TIGR03793","TIGR03798","TIGR03882","TIGR03975","TIGR04363","Terpene_synth_C","ToyB","TunD","YcaO","bt1fas","cyanobactin_synth","cycdipepsynth","ectoine_synt","fabH","fom1","goadsporin_like","hglD","hglE","indsynth","micJ25","mmyO","mvd_mst","novH","phosphonates","phytoene_synt","phzB","salQ","spcDK_like_cou","spcDK_like_glyc","strK_like1","strK_like2","subtilosin","t2clf","t2fas","t2ks","t2ks2","tabtoxin","terpene_cyclase","vlmB"
"sim_meta_oms-1",447,14576,2,9,9,0,0,0,0,55,63,2340,0,180,201,3046,2703,54,109,0,256,63,28,0,20,339,281,1901,2,901,3507,311,390,1857,136,1533,1405,947,0,0,0,0,0,0,32,0,0,0,40,1,0,226,6,0,0,39,793,0,0,32,31,59,8,0,0,0,0,267,0,27,0,4,0,0,0,21,1534,27,0,3,4,16
"sim_meta_oms-10",245,12760,66,4,34,0,0,1,0,33,43,1038,0,206,181,2867,2568,98,59,0,87,11,6,0,0,290,104,1402,6,642,3521,323,624,1886,11,788,658,614,0,0,3,0,1,0,59,0,10,1,11,0,3,148,17,8,0,32,801,0,0,93,111,20,12,0,0,0,0,226,0,11,0,2,0,0,0,16,1565,17,12,2,38,0
"sim_meta_oms-100",101,9199,1,0,32,0,0,0,0,17,27,865,0,185,181,3462,3295,20,13,2,20,2,15,0,0,86,26,1517,0,406,2065,292,721,1409,4,610,415,509,0,0,0,1,0,0,19,1,2,0,0,1,1,126,0,24,0,15,926,7,0,59,96,13,8,0,1,0,31,113,0,0,4,3,0,0,7,0,1483,8,0,0,64,0
"sim_meta_oms-101",121,8935,24,0,30,0,1,0,0,45,46,504,0,257,184,3022,2853,125,31,4,5,3,7,0,0,153,18,1425,0,497,2672,314,1044,1588,19,664,807,453,0,0,0,0,0,0,73,0,0,0,6,0,0,61,0,0,0,12,869,0,0,32,50,0,9,0,0,0,14,261,0,0,0,0,0,0,0,0,1537,2,0,0,68,0
"sim_meta_oms-102",203,9414,8,0,12,0,0,0,0,39,50,325,0,219,231,2703,2645,73,14,0,41,7,3,0,0,165,42,1522,5,680,2975,380,780,1634,34,709,461,458,0,0,0,0,0,0,148,2,11,0,0,0,0,197,0,1,0,52,964,0,0,77,122,0,9,0,0,0,8,210,0,10,2,4,0,0,0,19,1735,18,1,0,35,0
"sim_meta_oms-103",309,15514,3,18,45,0,0,0,0,30,47,3449,0,114,196,3873,2999,63,84,0,421,72,0,0,0,146,382,1712,6,1745,3320,359,692,1570,88,2161,2578,1241,0,0,0,0,0,0,57,0,4,5,22,2,0,179,0,234,0,31,690,0,0,140,239,121,9,0,0,0,10,260,0,45,0,0,0,0,0,50,1195,46,0,0,33,0
"sim_meta_oms-104",83,9157,52,0,31,0,0,0,0,46,65,706,0,178,199,2845,2444,102,34,0,51,10,41,0,0,202,47,1647,4,613,2567,336,743,1495,13,893,579,558,0,0,0,0,0,0,114,0,12,0,0,0,1,136,0,41,0,16,963,0,0,152,204,0,5,0,0,0,19,215,0,3,0,0,0,0,0,11,1368,24,15,0,24,0
"sim_meta_oms-105",405,13684,0,0,5,0,0,0,0,0,0,1071,0,92,171,2993,2476,118,136,0,214,35,0,4,0,240,115,1165,10,1404,3388,390,498,2032,0,659,214,417,0,0,0,0,0,0,0,0,58,6,0,0,0,50,0,0,0,33,587,0,0,16,20,0,20,0,0,0,4,292,0,0,2,0,0,0,0,0,1265,7,0,2,70,0
"sim_meta_oms-106",203,9104,3,8,40,0,0,0,0,28,40,899,1,132,187,2594,2818,55,51,0,187,44,10,0,0,161,215,1326,2,938,2448,301,790,1415,59,1055,927,600,0,0,0,0,0,0,94,13,10,3,9,1,1,155,0,82,8,31,762,0,0,49,61,41,21,0,0,0,11,190,0,14,0,4,0,0,0,15,1390,24,0,5,43,0
"sim_meta_oms-107",285,13366,1,16,30,0,0,0,0,43,58,1407,1,247,226,2531,2505,106,88,0,453,102,0,0,19,163,406,1619,5,1097,3321,423,764,1864,63,1568,1606,826,0,0,0,0,0,0,11,0,42,2,12,0,0,302,0,0,0,37,877,2,0,54,87,129,19,0,0,0,0,197,0,62,0,0,0,0,0,64,1520,92,0,5,30,16
"sim_meta_oms-108",231,10514,0,2,10,0,0,0,0,61,64,821,0,123,210,3249,3130,57,33,5,32,6,18,0,0,140,56,1394,6,722,2666,275,481,1597,10,740,468,406,0,0,0,0,0,0,25,1,0,0,11,0,0,82,23,0,0,41,774,0,0,15,26,0,7,0,0,0,9,306,0,0,3,4,0,0,0,21,1248,28,0,5,64,0
"sim_meta_oms-109",73,10267,0,3,45,0,0,0,0,7,10,480,0,191,235,2224,2270,42,14,0,10,1,0,0,2,103,32,1688,2,628,2945,331,540,1839,9,599,150,318,0,0,0,0,0,0,42,0,2,1,0,1,2,153,0,0,0,55,664,0,0,11,16,29,35,0,0,0,0,195,0,8,3,0,1,0,0,11,1504,19,0,14,0,9
"sim_meta_oms-11",246,12736,0,7,21,0,0,1,0,64,104,619,0,151,182,2816,2876,37,59,0,223,46,6,0,0,304,292,1477,3,1609,3873,315,1144,2089,38,1150,992,571,0,0,0,1,0,0,33,3,0,4,13,0,0,109,0,19,0,34,1083,0,0,50,160,72,11,0,3,0,24,243,0,18,2,0,0,0,0,26,1437,24,0,0,0,0
"sim_meta_oms-110",137,8076,0,0,34,0,1,0,0,28,37,1123,0,219,226,2828,2822,111,12,0,0,0,15,0,0,84,82,1648,0,444,1999,309,656,1350,13,655,215,538,38,14,0,0,0,4,81,0,2,0,0,2,1,90,0,0,0,19,952,0,0,60,84,0,16,0,0,0,3,143,0,0,0,0,0,0,4,0,1346,5,0,12,52,0
"sim_meta_oms-111",211,10104,73,1,34,0,0,0,7,15,20,991,0,157,205,3046,3006,97,45,0,67,12,2,0,0,233,81,1699,0,455,2282,362,524,1627,0,777,626,561,0,0,0,0,0,0,21,0,15,0,0,0,0,167,0,4,0,35,885,0,0,32,37,0,6,0,0,1,27,228,0,9,0,1,0,0,0,15,1416,26,17,1,32,7
"sim_meta_oms-112",159,10006,61,5,11,0,2,0,0,26,43,834,0,185,240,3117,3322,106,53,0,145,22,20,0,0,220,110,1545,2,506,2457,443,902,1488,26,1007,866,562,0,0,0,0,0,5,158,0,41,0,0,1,0,152,0,7,0,19,788,0,0,19,43,0,45,0,0,0,14,168,0,24,1,3,0,0,0,52,1436,76,10,7,2,0
"sim_meta_oms-113",186,12040,18,14,54,0,0,0,0,30,59,1750,0,171,227,3038,2609,99,96,0,384,81,9,0,29,180,418,1563,7,1304,3203,362,907,1709,68,1513,2075,858,0,0,0,0,0,1,14,0,0,1,24,1,1,142,0,19,0,4,904,6,0,56,61,105,8,0,0,0,9,216,0,49,4,0,0,0,0,48,1419,55,0,2,9,44
"sim_meta_oms-114",102,8937,155,3,19,0,0,0,0,24,41,1206,0,120,233,3209,3114,34,114,0,28,11,37,0,0,300,55,1408,0,617,2601,334,820,1578,31,663,868,556,0,0,0,0,0,0,179,1,0,0,0,0,0,11,0,0,0,14,952,0,0,0,0,0,6,0,0,0,31,240,0,0,0,3,0,0,0,0,1209,5,39,0,5,0
"sim_meta_oms-115",160,10216,1,0,50,0,0,0,0,28,36,81,0,162,169,3058,2715,56,3,0,0,0,5,0,0,124,21,1449,0,716,2918,305,663,1621,1,588,186,343,0,0,0,0,0,3,18,0,0,0,27,1,0,82,0,16,0,20,813,0,0,76,112,0,6,0,0,0,6,233,0,0,1,1,0,0,0,0,1643,11,0,3,36,0
"sim_meta_oms-116",712,16929,14,1,42,0,0,0,7,37,46,3712,0,240,211,2496,2192,59,121,0,207,48,64,0,0,204,165,1534,2,781,2908,246,653,1553,168,1705,2353,1345,0,0,0,0,0,0,15,0,34,0,81,1,1,208,0,0,0,33,799,0,0,74,103,0,12,3,0,0,6,228,3,10,2,2,0,0,0,31,1371,21,0,1,40,5
"sim_meta_oms-117",491,14651,95,0,25,0,0,0,0,23,36,2033,0,259,191,2807,2501,162,155,0,196,22,26,2,0,215,167,1335,6,1125,3504,295,1234,1949,84,834,926,760,0,0,0,0,0,0,38,0,40,4,41,0,1,62,0,0,0,44,815,0,0,22,29,0,1,0,0,0,11,255,0,0,0,2,0,0,0,0,1322,0,17,2,50,0
"sim_meta_oms-118",143,11329,0,5,17,0,0,0,0,10,20,672,0,334,187,2594,2295,111,2,0,0,0,0,0,0,173,54,1427,0,466,2284,367,657,1203,10,576,118,377,0,0,0,0,0,8,53,0,0,0,0,0,0,67,0,0,0,9,883,0,0,43,80,0,12,0,0,0,0,223,0,0,0,0,0,0,0,0,1385,1,0,6,118,0
"sim_meta_oms-119",144,6963,1,1,17,0,0,0,0,66,88,407,0,29,223,3367,3933,34,26,0,11,0,33,0,0,211,2,1579,0,282,1845,346,245,1292,0,539,119,277,0,0,0,0,2,0,29,0,0,0,0,1,1,126,0,0,3,26,820,0,0,0,0,0,40,0,0,0,0,166,0,0,4,3,0,0,0,0,1324,4,0,18,1,0
"sim_meta_oms-12",163,7296,16,0,8,0,0,0,0,4,8,884,0,133,213,2487,2724,103,16,5,20,1,28,0,0,207,43,1348,0,413,2209,305,725,1553,0,834,570,573,40,8,4,0,0,0,10,0,0,0,0,0,1,178,0,0,0,17,978,0,0,115,109,0,10,0,0,0,10,128,0,0,7,0,0,0,0,0,1377,30,0,0,0,0
"sim_meta_oms-120",147,11281,239,0,11,0,1,0,0,25,35,1439,0,185,187,2992,3005,24,125,0,92,11,0,0,0,285,55,1435,1,403,2872,302,631,1601,0,771,1067,817,0,0,0,0,0,0,33,0,16,0,18,0,0,85,0,0,0,24,925,0,0,92,167,0,7,0,0,0,2,224,0,10,1,0,0,0,0,15,1694,20,47,0,2,0
"sim_meta_oms-121",177,10289,0,1,40,0,0,0,0,29,36,820,0,214,204,2661,2295,118,43,0,0,0,15,0,0,152,29,1511,0,469,2576,302,592,1672,32,720,210,436,0,0,0,0,0,0,175,0,3,0,0,0,0,152,0,0,7,63,1107,1,0,82,80,0,12,0,0,0,51,143,0,0,0,0,0,0,0,0,1416,0,0,5,12,0
"sim_meta_oms-122",147,10629,5,6,16,0,0,0,0,26,30,791,0,266,196,2613,2126,56,22,0,80,15,38,0,0,156,49,1494,2,670,2806,360,984,1646,17,798,356,459,0,0,0,1,0,0,71,0,17,0,0,0,0,156,0,10,15,40,790,0,0,101,114,12,15,0,4,0,0,149,0,15,2,1,0,0,3,24,1352,35,0,2,17,0
"sim_meta_oms-123",249,13365,0,0,52,0,0,0,0,15,31,1695,0,256,167,2349,2096,81,43,0,70,19,23,0,0,183,104,1286,0,951,3019,306,561,1694,1,1472,1533,797,0,0,3,0,0,0,58,0,19,0,57,2,0,109,0,0,0,60,917,0,0,37,43,0,2,0,0,0,10,185,13,0,0,0,0,0,0,0,1372,7,0,0,0,0
"sim_meta_oms-124",112,8050,0,5,8,0,0,0,4,26,34,728,3,163,199,2497,2422,204,1,0,35,9,0,0,0,79,72,1317,1,555,2255,318,973,1378,2,794,409,561,0,0,0,0,0,0,0,9,9,0,0,1,0,140,0,39,0,43,897,6,0,107,134,0,23,2,0,0,34,198,0,8,0,0,0,0,0,7,1420,12,0,0,40,7
"sim_meta_oms-125",292,12123,17,0,26,0,0,0,0,16,27,817,0,165,218,2861,2465,107,47,0,72,14,10,2,0,237,83,1505,3,954,2949,359,641,1533,0,893,953,586,0,0,0,0,0,0,31,0,18,0,3,1,1,159,0,43,0,32,874,0,0,92,169,0,8,0,0,1,17,262,0,0,1,1,0,0,0,4,1425,7,0,0,39,0
"sim_meta_oms-126",227,13583,0,5,58,0,0,0,0,28,22,1073,0,172,195,2759,2560,102,38,0,264,48,38,0,17,166,254,1379,2,957,3233,362,644,1770,37,1077,884,658,0,0,0,0,0,1,23,3,33,0,9,6,0,217,0,0,0,29,738,0,0,48,59,48,14,0,0,0,6,190,0,38,2,0,0,0,0,51,1602,71,0,2,41,19
"sim_meta_oms-127",390,12154,0,0,26,0,0,0,0,35,37,278,0,166,194,3336,2708,104,3,0,0,0,0,0,0,82,24,1441,9,807,3594,266,1516,1923,3,637,89,361,0,0,0,0,0,0,8,0,1,0,31,1,0,86,41,0,0,24,847,0,0,55,120,0,3,0,0,0,6,146,0,0,0,3,0,0,0,0,1492,13,0,0,1,0
"sim_meta_oms-128",469,13853,18,16,15,0,0,0,0,51,61,1995,0,182,246,3139,2897,99,86,0,313,59,42,0,0,208,183,1402,2,951,3183,359,390,1851,67,1267,1797,937,0,0,1,2,1,0,25,1,62,0,26,0,2,214,23,15,0,31,906,0,0,28,52,51,18,0,0,0,9,238,0,37,0,0,0,0,0,74,1353,76,0,2,36,0
"sim_meta_oms-129",78,9311,8,0,16,0,0,0,0,11,17,889,4,125,145,3623,3440,16,8,3,16,7,12,0,0,234,140,1184,0,818,2211,253,226,1209,0,737,492,455,0,0,0,0,1,0,8,33,0,0,26,2,0,110,0,143,0,17,873,0,0,52,107,0,10,0,0,0,9,215,0,0,1,1,0,0,0,0,1327,5,0,0,47,0
"sim_meta_oms-13",197,12284,0,0,20,0,0,0,0,43,62,728,0,181,207,2529,2481,115,47,3,126,21,39,0,0,221,103,1333,7,1016,3275,350,1056,1810,8,1036,738,555,0,0,0,0,0,0,34,7,32,2,16,0,0,124,0,14,0,41,990,0,0,75,89,10,7,0,0,0,0,250,2,11,3,2,0,0,0,15,1539,17,0,0,30,0
"sim_meta_oms-130",193,13290,60,3,39,0,0,0,0,15,10,1295,0,208,205,2836,2390,61,57,0,120,20,24,0,9,264,99,1476,4,1010,3216,304,437,1778,30,1272,1352,650,0,0,0,0,0,0,69,1,15,0,30,0,0,103,0,0,0,45,836,4,0,26,54,28,6,0,0,1,40,240,3,5,1,0,0,0,6,11,1459,13,10,2,51,11
"sim_meta_oms-131",200,10060,0,9,21,0,0,0,0,42,67,850,0,101,232,3040,2699,39,68,0,202,41,14,0,0,169,167,1666,0,589,2872,308,740,1802,48,879,760,538,0,0,0,0,0,0,8,0,44,5,0,0,0,97,0,0,0,34,818,0,0,15,18,53,6,0,0,0,0,259,0,22,4,0,0,0,0,49,1648,60,0,3,98,0
"sim_meta_oms-132",144,9052,0,1,18,0,0,0,4,14,12,502,0,131,235,2977,2606,85,13,3,20,3,0,0,0,115,18,1636,0,251,2168,329,719,1339,1,662,334,493,0,0,2,0,0,1,15,0,5,0,0,1,1,221,8,0,0,18,947,3,0,55,97,0,14,0,0,0,11,105,0,3,4,0,0,0,0,4,1765,19,0,8,9,1
"sim_meta_oms-133",168,11881,0,0,22,0,0,0,0,39,73,613,0,115,220,4110,3152,53,24,0,11,0,0,0,0,256,63,1586,2,631,2473,335,761,1366,0,812,599,522,0,0,0,0,0,1,69,3,2,0,32,1,1,233,4,21,0,21,749,0,1,63,150,0,10,0,0,0,0,164,0,0,1,3,0,0,0,27,1560,30,0,1,15,0
"sim_meta_oms-134",340,9459,0,0,45,0,0,0,0,32,25,193,0,158,244,2594,2421,58,10,0,0,0,1,0,0,293,31,1458,5,364,2605,334,904,1534,2,662,132,361,0,0,0,0,0,0,30,0,3,0,0,3,0,83,0,8,0,27,858,0,0,59,59,0,3,0,0,0,0,238,0,0,4,2,0,0,0,0,1491,15,0,7,0,0
"sim_meta_oms-135",121,13034,0,10,16,0,0,0,0,54,60,1483,0,175,207,3151,2440,86,67,0,248,51,8,0,25,192,301,1652,2,867,2577,333,732,1539,56,1329,1267,771,0,0,0,0,0,2,18,0,14,1,31,0,0,209,0,0,0,21,1054,0,0,86,143,85,13,0,0,0,36,165,0,35,0,5,0,0,0,48,1369,49,0,2,26,38
"sim_meta_oms-136",144,11360,2,0,34,0,0,0,0,17,20,755,1,159,198,3418,2729,48,20,0,14,0,0,0,0,135,137,1540,2,812,2840,338,779,1780,6,789,485,484,23,10,0,3,0,0,14,4,2,0,30,0,0,201,0,11,0,15,879,3,0,49,71,15,1,0,2,0,11,162,0,0,7,9,0,0,0,35,1430,40,0,0,4,0
"sim_meta_oms-137",402,11297,42,1,31,0,0,0,0,22,34,2026,0,284,173,2877,2618,70,86,0,61,17,47,0,0,115,86,1352,1,303,2354,324,897,1366,86,929,848,825,0,0,0,0,2,0,29,0,0,0,28,0,0,125,0,0,0,11,1020,7,0,73,104,0,4,0,0,0,0,135,0,0,0,0,0,0,0,0,1183,3,11,0,27,0
"sim_meta_oms-138",224,10544,0,0,33,0,0,0,0,19,21,283,0,143,205,2992,2456,190,0,0,0,0,11,0,0,196,39,1468,0,516,3210,393,763,1997,0,675,162,349,0,0,4,0,0,0,10,0,0,0,0,0,1,144,5,0,0,40,812,0,0,9,40,0,11,0,0,0,4,122,0,0,0,0,0,0,0,0,1431,3,0,4,9,0
"sim_meta_oms-139",226,13598,8,16,24,0,0,0,0,71,90,1449,0,230,237,2695,2873,122,88,0,393,101,0,0,22,251,351,1800,10,1307,3339,359,963,1769,81,1524,1802,865,0,0,0,0,0,0,95,0,33,3,24,0,2,273,25,0,0,15,971,0,0,116,113,102,9,0,0,0,20,224,0,45,2,0,0,0,0,63,1565,66,0,1,15,20
"sim_meta_oms-14",192,11634,2,1,57,0,0,0,9,9,16,691,0,175,215,3286,2714,16,28,0,78,16,15,0,0,32,97,1469,1,693,3162,315,542,2128,29,777,677,452,0,0,0,0,0,0,8,2,26,0,0,2,0,159,0,45,0,50,725,0,0,17,71,12,4,1,2,0,4,235,0,17,0,0,0,0,0,25,1724,32,0,0,84,10
"sim_meta_oms-140",308,11949,3,8,23,0,1,0,0,44,52,1210,0,198,229,3083,2559,114,47,0,321,61,20,0,0,224,227,1421,4,629,3134,359,597,1657,29,1165,1028,709,0,0,0,0,0,3,27,0,58,3,4,0,1,254,0,0,0,24,812,0,0,37,57,99,9,0,0,0,8,169,0,47,2,0,0,0,0,68,1226,89,0,7,9,0
